
2022/10/28 (16:10:02) | ===> btop++ v.1.2.12
2022/10/28 (16:10:02) | ERROR: Stall in Runner thread, restarting!
2022/10/28 (16:12:02) | WARNING: Failed to join _runner thread on exit!

2022/11/22 (23:17:34) | ===> btop++ v.1.2.13
2022/11/22 (23:17:34) | ERROR: Stall in Runner thread, restarting!
2022/11/22 (23:17:45) | ERROR: Stall in Runner thread, restarting!

2023/01/15 (02:56:53) | ===> btop++ v.1.2.13
2023/01/15 (02:56:53) | ERROR: Exception in main loop -> key not found

2023/03/16 (23:07:23) | ===> btop++ v.1.2.13
2023/03/16 (23:07:23) | ERROR: Stall in Runner thread, restarting!
2023/03/16 (23:07:36) | ERROR: Stall in Runner thread, restarting!
2023/03/16 (23:08:19) | ERROR: Stall in Runner thread, restarting!

2023/03/28 (23:32:37) | ===> btop++ v.1.2.13
2023/03/28 (23:32:37) | ERROR: Stall in Runner thread, restarting!
2023/03/28 (23:33:21) | ERROR: Stall in Runner thread, restarting!
2023/03/28 (23:38:34) | ERROR: Stall in Runner thread, restarting!
2023/03/28 (23:47:55) | ERROR: Stall in Runner thread, restarting!

2023/05/14 (16:01:12) | ===> btop++ v.1.2.13
2023/05/14 (16:01:12) | ERROR: Stall in Runner thread, restarting!
2023/05/14 (16:01:25) | ERROR: Stall in Runner thread, restarting!
2023/05/14 (16:01:34) | ERROR: Stall in Runner thread, restarting!
2023/05/14 (16:01:40) | ERROR: Stall in Runner thread, restarting!
2023/05/14 (16:01:48) | ERROR: Stall in Runner thread, restarting!
2023/05/14 (16:02:11) | ERROR: Stall in Runner thread, restarting!
2023/05/14 (16:02:44) | ERROR: Stall in Runner thread, restarting!
2023/05/14 (16:03:19) | ERROR: Stall in Runner thread, restarting!
2023/05/14 (16:10:06) | ERROR: Stall in Runner thread, restarting!

2023/06/04 (14:57:43) | ===> btop++ v.1.2.13
2023/06/04 (14:57:43) | WARNING: Failed to get disk/partition stats for mount "/run/user/1000/doc" with statvfs64 error code: 1. Ignoring...
